user_id,business_id,date,review_id,stars,usefulvotes_review,user_name,categories,biz_name,latitude,longitude,business_avg,business_review_count,user_avg,user_review_count
rLtl8ZkDX5vH5nAx9C3q5Q,eIxSLxzIlfExI6vgAbn2JA,2011-05-12 00:00:00,z4G1g3VcdfigCUtVDFRL1w,4,5,Jason,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,3.70967741935,62
wFweIWhv2fREZV_dYkz_1g,eIxSLxzIlfExI6vgAbn2JA,2012-10-23 00:00:00,BlmPDAHUmrEKpWR7Ahl8aQ,5,5,Monique,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,3.76,25
C6IOtaaYdLIT5fWd7ZYIuA,eIxSLxzIlfExI6vgAbn2JA,2011-04-12 00:00:00,480M-xDpRaA1gCVCqIG4WA,4,14,Daren,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,4.0,15
1wMGLaMIH7CcmJ2htS1rmw,eIxSLxzIlfExI6vgAbn2JA,2011-07-05 00:00:00,TiW2ld4hARaZLqWmhIGoYA,5,2,Frank,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,4.0,6
mlBC3pN9GXlUUfQi1qBBZA,eIxSLxzIlfExI6vgAbn2JA,2011-09-17 00:00:00,q_T6FtScTul_yYIGyrgTxA,3,0,Jennifer,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,3.75,12
i0A-c2yoHySmFhRV2sDR1g,eIxSLxzIlfExI6vgAbn2JA,2012-12-26 00:00:00,kMluNRzhvuzvvhf6K6nAjw,5,0,Michael,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,4.5,12
GeGDZ02UfARKBRl7LqKZuA,eIxSLxzIlfExI6vgAbn2JA,2011-03-11 00:00:00,6fcnPIcE3WjOVd6hiwULzg,5,2,Brian,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,4.0,6
T7J9ae0wTskrI_Bgwp-4cA,eIxSLxzIlfExI6vgAbn2JA,2011-03-09 00:00:00,YPKedK7JuKC36cDAKuDGTQ,3,2,Jasmine,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,3.69696969697,33
nbofxFWHORebBHh10OgYLA,eIxSLxzIlfExI6vgAbn2JA,2011-07-28 00:00:00,y7yBnfbPxZJ_L93tnxMP3g,2,1,Christopher,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,3.83333333333,12
JffajLV-Dnn-eGYgdXDxFg,eIxSLxzIlfExI6vgAbn2JA,2009-12-06 00:00:00,usPFdmFuw7XCMg7ILk-qMQ,4,5,Amy,"[Burgers, Hot Dogs, American (New), Restaurants]",Lobbys Beef Burgers Dogs,33.3947699,-111.9088938,4.18571428571,70,4.24137931034,29
